amount,time_of_day,receiver_age_days,receiver_report_count,location_risk,device_trust_score,is_fraud
2101.14,7,128,0,0.498,0.767,0
5249.17,11,487,0,0.304,0.724,0
9138.13,6,148,0,0.64,0.381,0
10452.72,20,212,0,0.33,0.704,0
1988.26,11,258,0,0.391,0.8,0
2429.16,18,309,0,0.199,0.611,0
4127.25,11,32,1,0.488,0.896,0
4273.62,11,10,1,0.299,0.759,1
2897.01,3,82,0,0.061,0.523,0
1667.8,16,20,0,0.162,0.78,0
3248.53,21,264,0,0.148,0.852,0
10445.42,17,387,0,0.096,0.553,0
2167.52,21,179,0,0.54,0.688,0
3945.18,14,84,0,0.229,0.753,1
15040.58,3,72,0,0.363,0.663,0
2141.93,21,145,0,0.503,0.668,0
5422.15,15,417,0,0.255,0.852,0
10736.42,7,34,0,0.292,0.612,0
5102.8,15,320,1,0.178,0.576,1
7093.67,3,51,0,0.228,0.78,0
5932.3,0,50,0,0.495,0.346,0
4822.15,14,41,1,0.207,0.742,0
8327.13,13,33,0,0.26,0.743,0
5304.51,5,16,0,0.536,0.847,0
2920.19,12,440,0,0.166,0.713,0
3726.68,20,23,0,0.622,0.735,0
4378.73,20,54,1,0.182,0.751,0
2417.39,10,306,0,0.36,0.396,0
3851.5,16,18,1,0.062,0.912,0
3454.68,9,42,0,0.254,0.913,0
5293.16,4,52,0,0.379,0.518,0
12619.46,22,210,0,0.347,0.743,0
4019.59,15,279,1,0.089,0.339,0
9290.43,18,226,1,0.268,0.851,0
5162.16,11,142,1,0.101,0.506,0
3838.74,3,1117,1,0.178,0.881,0
2308.41,11,242,1,0.19,0.988,0
3860.01,20,64,1,0.169,0.948,0
3688.58,18,390,0,0.425,0.976,0
1832.72,2,155,0,0.367,0.55,1
2088.45,7,352,0,0.136,0.72,0
4405.23,8,1,0,0.393,0.797,0
9229.56,4,285,0,0.21,0.889,1
3166.43,13,185,0,0.167,0.811,0
818.2,19,271,0,0.505,0.59,1
1330.69,14,255,0,0.53,0.815,1
5517.21,23,31,1,0.369,0.483,0
999.97,23,340,0,0.11,0.813,0
6131.57,22,4,0,0.27,0.485,0
5309.76,6,122,2,0.155,0.769,1
3083.76,4,59,0,0.332,0.628,0
1846.99,18,176,0,0.496,0.638,0
2748.46,16,271,1,0.14,0.567,0
4327.47,14,494,0,0.701,0.827,1
1033.63,16,17,0,0.349,0.796,0
8623.43,14,174,1,0.129,0.929,1
4298.86,16,88,0,0.23,0.756,0
4657.21,0,59,0,0.131,0.902,0
5283.47,12,17,1,0.061,0.582,0
8077.69,18,52,0,0.263,0.635,0
3866.93,0,124,0,0.397,0.977,0
5519.55,17,1,0,0.155,0.976,0
1874.14,20,176,0,0.594,0.881,0
10480.75,0,22,1,0.266,0.652,1
3675.16,13,171,1,0.347,0.413,0
1865.96,20,95,0,0.25,0.867,0
2308.92,14,298,0,0.06,0.725,0
447.71,11,115,0,0.343,0.961,1
2296.56,15,574,0,0.339,0.75,0
174.6,8,79,1,0.197,0.61,0
5801.76,0,157,0,0.337,0.845,0
4556.95,10,263,2,0.507,0.874,0
1408.09,20,49,1,0.292,0.563,0
3211.65,0,3,0,0.147,0.601,0
3324.04,12,308,0,0.496,0.694,0
1147.81,10,69,1,0.129,0.517,0
2794.74,9,35,1,0.612,0.59,1
3403.24,7,180,1,0.128,0.498,0
2734.99,7,93,0,0.328,0.616,0
1864.33,13,62,0,0.433,0.518,0
1358.33,23,246,1,0.475,0.641,0
2658.94,4,687,1,0.275,0.889,0
2065.36,4,150,0,0.228,0.694,0
5041.07,16,300,0,0.131,0.84,0
8409.14,23,369,1,0.357,0.495,0
6336.05,17,132,0,0.053,0.504,0
3489.68,8,141,0,0.304,0.87,0
1926.43,8,253,0,0.248,0.326,0
6220.12,8,518,1,0.416,0.478,1
5257.01,14,339,1,0.194,0.422,1
8023.03,10,305,2,0.267,0.777,0
3870.01,7,299,2,0.238,0.794,1
10124.79,6,127,2,0.215,0.462,0
3870.89,14,394,3,0.071,0.839,1
1918.42,2,89,0,0.246,0.752,0
2233.54,10,187,0,0.308,0.919,0
4873.73,9,29,0,0.168,0.915,0
2060.63,15,210,0,0.215,0.666,0
10079.25,1,277,0,0.273,0.934,1
4591.6,8,106,0,0.267,0.672,0
3432.42,12,144,3,0.058,0.684,0
3652.96,12,3,1,0.172,0.946,0
2711.97,21,469,0,0.545,0.751,0
614.63,19,337,1,0.227,0.66,0
2234.92,21,265,0,0.095,0.553,0
9272.71,13,14,1,0.159,0.905,0
3947.1,20,49,1,0.546,0.615,1
6833.75,3,903,1,0.209,0.665,0
6966.19,23,123,0,0.746,0.84,0
3234.89,12,420,0,0.2,0.938,0
5317.23,2,227,1,0.493,0.798,1
695.01,6,332,1,0.291,0.826,0
8783.9,0,188,0,0.066,0.844,0
8317.3,5,42,0,0.474,0.748,0
4778.54,8,144,1,0.214,0.612,0
4052.71,21,368,0,0.437,0.784,0
3267.79,13,482,0,0.401,0.566,1
7370.71,13,245,2,0.714,0.705,0
5749.23,2,223,0,0.181,0.6,0
2482.36,19,198,0,0.426,0.78,0
1197.59,9,167,0,0.6,0.933,0
983.43,13,442,0,0.063,0.342,0
7318.67,9,293,0,0.1,0.72,0
3213.65,10,253,0,0.275,0.715,0
4722.99,13,106,1,0.431,0.857,0
3535.65,10,124,0,0.391,0.832,0
996.87,7,114,0,0.444,0.778,0
713.15,11,1299,0,0.422,0.839,0
2345.63,19,509,0,0.483,0.89,0
2511.72,22,22,1,0.2,0.71,1
2510.43,12,127,0,0.267,0.806,0
2569.93,11,62,0,0.291,0.743,0
12084.65,16,71,0,0.566,0.598,0
6763.92,12,3,1,0.481,0.866,0
3988.68,9,28,1,0.357,0.901,0
3151.86,5,178,1,0.476,0.913,0
3238.15,7,215,0,0.263,0.88,0
5605.41,13,618,0,0.286,0.55,0
3129.24,12,349,1,0.297,0.664,0
6303.2,20,58,0,0.507,0.854,0
4310.39,16,152,0,0.268,0.588,0
12155.63,6,44,1,0.283,0.812,1
2985.75,17,125,2,0.456,0.701,0
7091.45,10,292,1,0.676,0.535,0
1304.72,16,286,1,0.377,0.459,0
1968.24,11,296,1,0.198,0.656,0
11120.02,3,46,1,0.327,0.61,0
6122.31,23,110,0,0.129,0.833,0
4783.97,20,243,0,0.106,0.417,1
14186.44,12,22,0,0.249,0.882,0
3186.76,16,82,1,0.328,0.944,0
7080.11,0,187,1,0.26,0.45,0
7433.56,10,144,0,0.459,0.698,0
9579.63,14,15,0,0.422,0.75,1
1163.12,12,252,0,0.213,0.401,1
3170.46,11,94,1,0.244,0.582,1
4256.29,6,543,0,0.666,0.699,0
9477.07,5,64,1,0.024,0.794,0
4646.84,9,788,1,0.303,0.915,0
7444.32,0,420,0,0.522,0.709,0
1062.19,8,270,0,0.271,0.452,0
2622.55,20,50,0,0.366,0.943,1
8296.5,11,221,2,0.599,0.882,0
2906.14,0,33,0,0.409,0.741,0
3373.72,22,184,1,0.37,0.872,0
9377.9,18,239,0,0.224,0.75,0
1589.86,1,80,0,0.393,0.777,0
1940.75,11,1026,1,0.556,0.879,0
951.28,21,18,1,0.317,0.953,0
9624.5,9,184,0,0.25,0.968,0
6679.57,17,255,1,0.329,0.894,1
6565.11,21,31,0,0.483,0.882,0
2563.0,7,460,0,0.639,0.287,0
878.8,5,166,1,0.244,0.807,0
634.23,9,664,0,0.42,0.739,0
